Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.763307,144.819252,Measured,14926GB_P0,Freeway MVT on Western Ring Rd NEB between Furlong Rd Off Ramp (ob) & Furlong On Ramp (ob),Fault,9.53,4679.37,VicRoads Production,
-37.761048,144.820843,Measured,14927GB_P0,Freeway MVT on Western Ring Rd NEB between Furlong Rd Off Ramp (ob) & Furlong On Ramp (ob),Fault,9.67,4887.69,VicRoads Production,
-37.760998,144.820868,Measured,14927GB_P1,Freeway MVT on Western Ring Rd NEB between Furlong Rd Off Ramp (ob) & Furlong On Ramp (ob),Fault,9.34,4947.66,VicRoads Production,
-37.763261,144.819291,Measured,14926GB_P1,Freeway MVT on Western Ring Rd NEB between Furlong Rd Off Ramp (ob) & Furlong On Ramp (ob),OK,9.13,4706.70,VicRoads Production,
-37.755391,144.825468,Upper Limit,14928GB_P0,Freeway MVT on Western Ring Rd NEB between Furlong Rd On Ramp (ob) & Sunshine Ave (ob),Fault,10.88,3301.11,VicRoads Production,
-37.755355,144.825517,Measured,14928GB_P1,Freeway MVT on Western Ring Rd NEB between Furlong Rd On Ramp (ob) & Sunshine Ave (ob),Fault,9.80,4899.64,VicRoads Production,
-37.738663,144.850712,Measured,14332GB_L_P0,Freeway MVT on Western Ring Rd NEB between Keilor Park Dr Off Ramp (nb) & Keilor Park Dr On Ramp (nb,OK,7.24,1626.20,VicRoads Production,
-37.738617,144.850746,Upper Limit,14332GB_L_P1,Freeway MVT on Western Ring Rd NEB between Keilor Park Dr Off Ramp (nb) & Keilor Park Dr On Ramp (nb,OK,7.37,1624.65,VicRoads Production,
-37.739946,144.849545,,7889IB_L,Freeway MVT on Western Ring Rd NEB between Keilor Park Dr Off Ramp (nb) & Keilor Park Dr On Ramp (nb,Unknown,,,VicRoads Production,
-37.737286,144.851679,,7890IB_L,Freeway MVT on Western Ring Rd NEB between Keilor Park Dr Off Ramp (nb) & Keilor Park Dr On Ramp (nb,Unknown,,,VicRoads Production,
-37.731513,144.85474,Upper Limit,7891IB_L,Freeway MVT on Western Ring Rd NEB between Keilor Park Dr On Ramp (nb) & Calder Fwy Off Ramp (nb),Failed,,,VicRoads Production,
-37.703245,144.891187,Upper Limit,14950GB_P0,Freeway MVT on Western Ring Rd NEB between Pascoe Vale Rd Off-ramp Start From M80 Nwb & Tullamarine ,OK,8.99,3370.46,VicRoads Production,
-37.703208,144.891235,Upper Limit,14950GB_P1,Freeway MVT on Western Ring Rd NEB between Pascoe Vale Rd Off-ramp Start From M80 Nwb & Tullamarine ,OK,8.99,3385.26,VicRoads Production,
-37.700114,144.895152,Upper Limit,14951GB_P0,Freeway MVT on Western Ring Rd NEB between Pascoe Vale Rd Off-ramp Start From M80 Nwb & Tullamarine ,OK,11.32,3322.86,VicRoads Production,
